"Team"	"Signed"	"Avg.Age"	"Active.Cap"	"Dead.Cap"	"Total.Cap"	"Lux.Tax.Space"	"Cap.Space."	"Practical.Cap.Space.."	"Coach.Tenure"	"OFFRTG"	"DEFRTG"	"Wins"	"TOV"	"NBAYear"	"ID"
"8-2017"	"Denver Nuggets"		25.5	78416141	"3992779"	115066504	"$30,705,064 "	-20923504	11561064	2	112.1	111.7	40	15	"2017"	"8"
"8-2018"	"Denver Nuggets"		26.1	101779153	"$4,736,050 "	106515203	"$12,750,797 "	-7422203	-7422203	3	111.3	109.9	46	15.1	"2018"	"8"
"8-2019"	"Denver Nuggets"		24.4	116956505	"$346,070 "	117302575	"$6,267,207 "	-15433575	-15433575	4	112.3	107.9	53	13.6	"2019"	"8"
"9-2015"	"Detroit Pistons"		26.7	49558917	"$14,097,726 "	63871995	"$12,957,005 "	-806995	-806995	1	104.3	105.4	32	14.2	"2015"	"9"
"9-2016"	"Detroit Pistons"		25.9	66217330	"$9,225,207 "	75603690	"$9,136,310 "	-5603690	-5603690	2	105.2	104.9	44	14	"2016"	"9"
"9-2017"	"Detroit Pistons"		25.3	102503259	"5398678"	107901937	"$5,385,063 "	-13758937	-13758937	3	105.3	106.7	37	12.3	"2017"	"9"
"9-2018"	"Detroit Pistons"		26.4	113040993	"$5,856,729 "	118897722	"$368,278*"	-19804722	-19804722	4	106.5	106.6	39	13.8	"2018"	"9"
"9-2019"	"Detroit Pistons"		26.7	116292254	"$7,189,209 "	123481463	"$251,537*"	-21612463	-21612463	1	108.2	108.8	39	14	"2019"	"9"
"10-2015"	"Golden State Warriors"		26.4	71881167	"$644,240 "	72585093	"$4,243,907*"	-9520093	-9520093	1	110.4	100.4	67	14.5	"2015"	"10"
"10-2016"	"Golden State Warriors"		26.9	88868997	"$6,908,685 "	95777682	"($11,139,899)"	-25777682	-25777682	2	113.4	102.8	73	15	"2016"	"10"
"10-2017"	"Golden State Warriors"		27.5	97520106	"2608548"	100241842	"$13,031,467 "	-6098842	-6098842	3	114.8	103.4	67	14.6	"2017"	"10"
"10-2018"	"Golden State Warriors"		27.9	132955238	"$2,416,508 "	135371746	"($16,105,746)"	-36278746	-36278746	4	112.7	106.8	58	15.3	"2018"	"10"
"10-2019"	"Golden State Warriors"		27.7	144354753	"$945,126 "	145299879	"($21,566,879)"	-43430879	-43430879	5	114.9	108.5	55	13.9	"2019"	"10"
"11-2015"	"Houston Rockets"		26.7	71004520	"$3,045,729 "	74050249	"$2,778,751*"	-10985249	-10985249	4	106	102.6	56	17	"2015"	"11"
"11-2016"	"Houston Rockets"		26.2	75204953	"$13,182,493 "	88387446	"$-3,647,446*"	-18387446	-18387446	0	107.3	107.3	41	16.1	"2016"	"11"
"11-2017"	"Houston Rockets"		25.8	87526799	"3409725"	109070494	"$21,794,155 "	-14927494	3174507	1	114.1	108.4	55	15	"2017"	"11"
"11-2018"	"Houston Rockets"		28.9	114484312	"$3,666,900 "	118271451	"$994,549*"	-19178451	-19178451	2	114	105.6	65	14	"2018"	"11"
"11-2019"	"Houston Rockets"		27.1	122394108	"$722,878 "	123411509	"$321,491 "	-21542509	-21542509	3	114.5	110.1	52	13.4	"2019"	"11"
"12-2015"	"Indiana Pacers"		27.6	74798942	"-"	74798942	"$2,030,058*"	-11733942	-11733942	5	102.9	102.7	38	14.8	"2015"	"12"
"12-2016"	"Indiana Pacers"		25.5	66751826	"$5,606,178 "	72413726	"$12,326,274 "	-2413726	-2413726	6	103.8	102.2	45	15.1	"2016"	"12"
"12-2017"	"Indiana Pacers"		26.3	85614337	"8387667"	94002004	"$19,284,996 "	140996	140996	1	107.9	108	42	14.1	"2017"	"12"
"12-2018"	"Indiana Pacers"		25.1	90081320	"$3,534,569 "	93661969	"$25,604,031 "	5431031	5431031	2	108.5	107.2	48	13.6	"2018"	"12"
"12-2019"	"Indiana Pacers"		25.9	99581987	"$10,950,104 "	110579462	"$13,153,538 "	-8710462	-8710462	3	109.2	105.6	47	13.8	"2019"	"12"
"13-2015"	"Los Angeles Clippers"		28.3	77554797	"$2,666,743 "	80629773	"$-3,800,773*"	-17564773	-17564773	2	111.5	104.7	56	12.9	"2015"	"13"
"13-2016"	"Los Angeles Clippers"		28.9	94554340	"$1,412,964 "	96140524	"($11,400,524)"	-26140524	-26140524	3	107.2	102.6	53	13.3	"2016"	"13"
"13-2017"	"Los Angeles Clippers"		29.4	113657568	"1412964"	115070532	"$-2,220,492*"	-20927532	-20927532	4	111.8	107.5	51	13.3	"2017"	"13"
"13-2018"	"Los Angeles Clippers"		26.5	116141747	"$2,509,044 "	118817049	"$448,951*"	-19724049	-19724049	5	109.3	109.2	42	14.7	"2018"	"13"
"13-2019"	"Los Angeles Clippers"		26.3	86000111	"$30,930,896 "	117025749	"$6,707,251*"	-15156749	-15156749	6	111.4	110.1	47	14.1	"2019"	"13"
"14-2015"	"Los Angeles Lakers"		25.8	59483328	"$10,783,000 "	70374042	"$6,454,958 "	-7309042	-7309042	1	102.2	109.4	21	13.7	"2015"	"14"
"14-2016"	"Los Angeles Lakers"		26.6	71770430	"$194,942 "	71965372	"$12,774,628 "	-1965372	-1965372	2	100.7	110.3	17	14.2	"2016"	"14"
"14-2017"	"Los Angeles Lakers"		25.2	85639596	"8500586"	94204120	"$19,082,880 "	-61120	-61120	1	105.3	112	26	15.3	"2017"	"14"
"14-2018"	"Los Angeles Lakers"		24.9	93848506	"$8,134,489 "	102177393	"$17,088,607 "	-3084393	-3084393	2	105.9	107.2	35	15.5	"2018"	"14"
